"","word","freq"
"salusted","salud",985
"casos","casos",890
"gente","gente",825
"personas","personas",725
"favor","favor",665
"pais","pais",660
"gobierno","gobierno",620
"casa","casa",570
"pueblo","pueblo",540
"ecuador","ecuador",525
"verdad","verdad",520
"medicos","medicos",500
"dias","dias",460
"ustedes","ustedes",450
"ahora","ahora",445
"virus","virus",390
"senores","senores",365
"dia","dia",350
"digan","digan",345
"caso","caso",335
"hacen","hacen",330
"muertos","muertos",325
"hospitales","hospitales",320
"peor","peor",310
"deberian","deberian",310
"quieren","quieren",305
"pueden","pueden",290
"nosotroos","nosotroos",290
"pruebas","pruebas",285
"recuperados","recuperados",280
"contagios","contagios",275
"hospital","hospital",275
"vacuna","vacuna",275
"realidad","realidad",270
"coronavirus","coronavirus",265
"mejor","mejor",265
"menos","menos",265
"hagan","hagan",260
"dan","dan",260
"informacion","informacion",260
"resultados","resultados",255
"decir","decir",255
"personal","personal",250
"haciendo","haciendo",245
"puede","puede",245
"ayer","ayer",245
"vez","vez",240
"siguen","siguen",235
"dicen","dicen",235
"provincia","provincia",235
"contagiados","contagiados",225
"queda","queda",225
"toque","toque",225
"horas","horas",220
"ahi","ahi",220
"bien","bien",215
"ministro","ministro",215
"nadie","nadie",215
"tanta","tanta",210
"ministerio","ministerio",210
"prueba","prueba",205
"entonces","entonces",205
"dejen","dejen",200
"sintomas","sintomas",200
"autoridades","autoridades",200
"covid","covid",200
"ecuatorianos","ecuatorianos",195
"dios","dios",195
"senor","senor",190
"familia","familia",190
"hoy","hoy",190
"gracias","gracias",190
"evitar","evitar",190
"dar","dar",185
"cifras","cifras",185
"tiempo","tiempo",180
"resultado","resultado",175
"paciente","paciente",175
"insumos","insumos",175
"salir","salir",175
"politicos","politicos",175
"datos","datos",175
"positivos","positivos",175
"seguir","seguir",175
"deben","deben",175
"poblacion","poblacion",170
"trabajo","trabajo",170
"falso","falso",170
"triste","triste",165
"parte","parte",165
"salio","salio",165
"pacientes","pacientes",165
"ministra","ministra",160
"digo","digo",160
"nunca","nunca",160
"reactivos","reactivos",155
