"","doc_id","text"
"1","1","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"2","2","seria bueno desmientan entonces empezando circular redes imagen"
"3","3"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"4","4"," paso resultados paciente"
"5","5","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"6","6"," mismo hacen misadelos dias usteds siguen mentira"
"7","7"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"8","8"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"9","9"," comento despidiendo mucha gente sector publico"
"10","10"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"11","11"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"12","12"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"13","13","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"14","14"," comentarios murio hoy ojala cierto suele detallo"
"15","15"," hartos reactivos hagan prueba sospechosos ecuador google map "
"16","16"," vez menos texto tal signos vitales"
"17","17","cabe preguntar tantas mentiras parte cartera "
"18","18","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"19","19"," ecuador momento"
"20","20","si despues tiempo pasado coronavirus"
"21","21","escriban bien senoresministerio salud publicano usan articulos verguenza"
"22","22"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"23","23"," atencion oportuna si medicina sintomatica dando"
"24","24"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"25","25","bueno jasta informar resultados tanta vuelta digan vez"
"26","26","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"27","27","seria bueno desmientan entonces empezando circular redes imagen"
"28","28"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"29","29"," paso resultados paciente"
"30","30","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"31","31"," mismo hacen misadelos dias usteds siguen mentira"
"32","32"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"33","33"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"34","34"," comento despidiendo mucha gente sector publico"
"35","35"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"36","36"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"37","37"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"38","38","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"39","39"," comentarios murio hoy ojala cierto suele detallo"
"40","40"," hartos reactivos hagan prueba sospechosos ecuador google map "
"41","41"," vez menos texto tal signos vitales"
"42","42","cabe preguntar tantas mentiras parte cartera "
"43","43","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"44","44"," ecuador momento"
"45","45","si despues tiempo pasado coronavirus"
"46","46","escriban bien senoresministerio salud publicano usan articulos verguenza"
"47","47"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"48","48"," atencion oportuna si medicina sintomatica dando"
"49","49"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"50","50","bueno jasta informar resultados tanta vuelta digan vez"
"51","51","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"52","52","seria bueno desmientan entonces empezando circular redes imagen"
"53","53"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"54","54"," paso resultados paciente"
"55","55","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"56","56"," mismo hacen misadelos dias usteds siguen mentira"
"57","57"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"58","58"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"59","59"," comento despidiendo mucha gente sector publico"
"60","60"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"61","61"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"62","62"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"63","63","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"64","64"," comentarios murio hoy ojala cierto suele detallo"
"65","65"," hartos reactivos hagan prueba sospechosos ecuador google map "
"66","66"," vez menos texto tal signos vitales"
"67","67","cabe preguntar tantas mentiras parte cartera "
"68","68","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"69","69"," ecuador momento"
"70","70","si despues tiempo pasado coronavirus"
"71","71","escriban bien senoresministerio salud publicano usan articulos verguenza"
"72","72"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"73","73"," atencion oportuna si medicina sintomatica dando"
"74","74"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"75","75","bueno jasta informar resultados tanta vuelta digan vez"
"76","76","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"77","77","seria bueno desmientan entonces empezando circular redes imagen"
"78","78"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"79","79"," paso resultados paciente"
"80","80","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"81","81"," mismo hacen misadelos dias usteds siguen mentira"
"82","82"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"83","83"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"84","84"," comento despidiendo mucha gente sector publico"
"85","85"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor"
"86","86"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante"
"87","87"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados "
"88","88","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno"
"89","89"," comentarios murio hoy ojala cierto suele detallo"
"90","90"," hartos reactivos hagan prueba sospechosos ecuador google map "
"91","91"," vez menos texto tal signos vitales"
"92","92","cabe preguntar tantas mentiras parte cartera "
"93","93","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja"
"94","94"," ecuador momento"
"95","95","si despues tiempo pasado coronavirus"
"96","96","escriban bien senoresministerio salud publicano usan articulos verguenza"
"97","97"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos"
"98","98"," atencion oportuna si medicina sintomatica dando"
"99","99"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto "
"100","100","bueno jasta informar resultados tanta vuelta digan vez"
"101","101","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor"
"102","102","seria bueno desmientan entonces empezando circular redes imagen"
"103","103"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo"
"104","104"," paso resultados paciente"
"105","105","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz"
"106","106"," mismo hacen misadelos dias usteds siguen mentira"
"107","107"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso"
"108","108"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso"
"109","109"," comento despidiendo mucha gente sector publico"
