"","text","polarity"
"1","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"2","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"3"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"4"," paso resultados paciente","Positivo"
"5","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"6"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"7"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"8"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"9"," comento despidiendo mucha gente sector publico","Positivo"
"10"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"11"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"12"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"13","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"14"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"15"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"16"," vez menos texto tal signos vitales","Positivo"
"17","cabe preguntar tantas mentiras parte cartera ","Positivo"
"18","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"19"," ecuador momento","Positivo"
"20","si despues tiempo pasado coronavirus","Positivo"
"21","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"22"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"23"," atencion oportuna si medicina sintomatica dando","Positivo"
"24"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"25","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"26","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"27","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"28"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"29"," paso resultados paciente","Positivo"
"30","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"31"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"32"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"33"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"34"," comento despidiendo mucha gente sector publico","Positivo"
"35"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"36"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"37"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"38","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"39"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"40"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"41"," vez menos texto tal signos vitales","Positivo"
"42","cabe preguntar tantas mentiras parte cartera ","Positivo"
"43","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"44"," ecuador momento","Positivo"
"45","si despues tiempo pasado coronavirus","Positivo"
"46","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"47"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"48"," atencion oportuna si medicina sintomatica dando","Positivo"
"49"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
"50","bueno jasta informar resultados tanta vuelta digan vez","Positivo"
"51","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Negativo"
"52","seria bueno desmientan entonces empezando circular redes imagen","Positivo"
"53"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Positivo"
"54"," paso resultados paciente","Positivo"
"55","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Positivo"
"56"," mismo hacen misadelos dias usteds siguen mentira","Positivo"
"57"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Negativo"
"58"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Negativo"
"59"," comento despidiendo mucha gente sector publico","Positivo"
"60"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Positivo"
"61"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Negativo"
"62"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Positivo"
"63","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Positivo"
"64"," comentarios murio hoy ojala cierto suele detallo","Positivo"
"65"," hartos reactivos hagan prueba sospechosos ecuador google map ","Positivo"
"66"," vez menos texto tal signos vitales","Positivo"
"67","cabe preguntar tantas mentiras parte cartera ","Positivo"
"68","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Positivo"
"69"," ecuador momento","Positivo"
"70","si despues tiempo pasado coronavirus","Positivo"
"71","escriban bien senoresministerio salud publicano usan articulos verguenza","Positivo"
"72"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Positivo"
"73"," atencion oportuna si medicina sintomatica dando","Positivo"
"74"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Positivo"
