"","text","emotion"
"1","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"2","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"3"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"4"," paso resultados paciente","Neutral"
"5","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"6"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"7"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"8"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"9"," comento despidiendo mucha gente sector publico","Neutral"
"10"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"11"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"12"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"13","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"14"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"15"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"16"," vez menos texto tal signos vitales","Neutral"
"17","cabe preguntar tantas mentiras parte cartera ","Neutral"
"18","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"19"," ecuador momento","Neutral"
"20","si despues tiempo pasado coronavirus","Neutral"
"21","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"22"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"23"," atencion oportuna si medicina sintomatica dando","Neutral"
"24"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"25","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"26","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"27","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"28"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"29"," paso resultados paciente","Neutral"
"30","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"31"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"32"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"33"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"34"," comento despidiendo mucha gente sector publico","Neutral"
"35"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"36"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"37"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"38","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"39"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"40"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"41"," vez menos texto tal signos vitales","Neutral"
"42","cabe preguntar tantas mentiras parte cartera ","Neutral"
"43","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"44"," ecuador momento","Neutral"
"45","si despues tiempo pasado coronavirus","Neutral"
"46","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"47"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"48"," atencion oportuna si medicina sintomatica dando","Neutral"
"49"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"50","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"51","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"52","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"53"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"54"," paso resultados paciente","Neutral"
"55","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"56"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"57"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"58"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"59"," comento despidiendo mucha gente sector publico","Neutral"
"60"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"61"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"62"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"63","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"64"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"65"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"66"," vez menos texto tal signos vitales","Neutral"
"67","cabe preguntar tantas mentiras parte cartera ","Neutral"
"68","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"69"," ecuador momento","Neutral"
"70","si despues tiempo pasado coronavirus","Neutral"
"71","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"72"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"73"," atencion oportuna si medicina sintomatica dando","Neutral"
"74"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"75","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"76","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"77","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"78"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"79"," paso resultados paciente","Neutral"
"80","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"81"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"82"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"83"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"84"," comento despidiendo mucha gente sector publico","Neutral"
"85"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"86"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"87"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"88","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"89"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"90"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"91"," vez menos texto tal signos vitales","Neutral"
"92","cabe preguntar tantas mentiras parte cartera ","Neutral"
"93","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"94"," ecuador momento","Neutral"
"95","si despues tiempo pasado coronavirus","Neutral"
"96","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"97"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"98"," atencion oportuna si medicina sintomatica dando","Neutral"
"99"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"100","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
"101","senora ministra respeto usted merece si supone ecuador reactivos detectar coronavirus anunciaron noticia ultimo minuto vez tenernos rumor hacen prueba senor confirman resultado tipo comunicado si bien cierto oficial alteran poblacion rumores senor murio vez fuertes peor","Neutral"
"102","seria bueno desmientan entonces empezando circular redes imagen","Neutral"
"103"," pues senora ministra reactivos ahora excusa dejeme adivinar sabe usarlo","Neutral"
"104"," paso resultados paciente","Neutral"
"105","honestamente tristemente interesa vaya paciente hora hora resultado prioridad momentos marean perdiz","Neutral"
"106"," mismo hacen misadelos dias usteds siguen mentira","Neutral"
"107"," sospechoso muera normal pase semana triste gripe tos ustedes sigue sospechoso","Neutral"
"108"," aburren mismo den informaciondeq portador virus parecen programa tv haciendo suspenso","Neutral"
"109"," comento despidiendo mucha gente sector publico","Neutral"
"110"," fecha podemos digna digno representante ministro salustedesta cartera va mal peor","Neutral"
"111"," pobre persona tendoctora familia pronuncie respecto protegen indaguen inconcebible pais latinoamericano recibir famosos medios detectar virus digan resultados caso indignante","Neutral"
"112"," mejor pueden lugar esperando resultado esque tomen medidas ahora digo tomen medidas bioseguridad ustedes ciustedadanos esperarqueel gobierno diga mal acostumbrados ","Neutral"
"113","risa llegan reactivos rapido resultados mejor regresen muestras hacemos si cogian turno","Neutral"
"114"," comentarios murio hoy ojala cierto suele detallo","Neutral"
"115"," hartos reactivos hagan prueba sospechosos ecuador google map ","Neutral"
"116"," vez menos texto tal signos vitales","Neutral"
"117","cabe preguntar tantas mentiras parte cartera ","Neutral"
"118","digo lugar montar lenin on ice gastarse millonadas fachada pongan controles aeropuertos aduanas puertos etc hagan informes epidemiologicos semanales trimestrales hacen ahora gracias ministraquemando sacando epidemiologos habia sobrino nadie queja","Neutral"
"119"," ecuador momento","Neutral"
"120","si despues tiempo pasado coronavirus","Neutral"
"121","escriban bien senoresministerio salud publicano usan articulos verguenza","Neutral"
"122"," entiendo hacen esperando resultados nosotroos debemos preparados peor tomemos medidas preventivas necesarias diosito apiade nosotroos","Neutral"
"123"," atencion oportuna si medicina sintomatica dando","Neutral"
"124"," piensan ascuas sinceros primera vez vida sirvan verdad vayanse casas si pueden delen puesto ","Neutral"
"125","bueno jasta informar resultados tanta vuelta digan vez","Neutral"
